upstream,mirror_name,tier,public_body,ownership_confidence,default_branch,upstream_archived,size_kb,clone_url,web_url,first_seen,last_seen,last_synced,synced_pushed_at,upstream_pushed_at,status,lfs,fidelity_notes,evidence_url
IrishMarineInstitute/spectrumfft2spl,IrishMarineInstitute.spectrumfft2spl,core,Marine Institute,high,master,false,26,https://github.com/IrishMarineInstitute/spectrumfft2spl.git,https://github.com/IrishMarineInstitute/spectrumfft2spl,2026-08-11,2026-09-04,2026-08-26,2019-01-10T16:18:47Z,2019-01-10T16:18:47Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/spiddal.marine.ie,IrishMarineInstitute.spiddal.marine.ie,core,Marine Institute,high,master,false,39809,https://github.com/IrishMarineInstitute/spiddal.marine.ie.git,https://github.com/IrishMarineInstitute/spiddal.marine.ie,2026-08-11,2026-09-04,2026-08-27,2023-10-02T17:03:00Z,2023-10-02T17:03:00Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/style-guides,IrishMarineInstitute.style-guides,core,Marine Institute,high,master,false,1,https://github.com/IrishMarineInstitute/style-guides.git,https://github.com/IrishMarineInstitute/style-guides,2026-08-11,2026-09-04,2026-08-26,2020-04-29T13:20:18Z,2020-04-29T13:20:18Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/TerriaMap,IrishMarineInstitute.TerriaMap,core,Marine Institute,high,main,false,47260,https://github.com/IrishMarineInstitute/TerriaMap.git,https://github.com/IrishMarineInstitute/TerriaMap,2026-08-11,2026-09-04,2026-08-27,2025-12-16T16:32:01Z,2025-12-16T16:32:01Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/TerriaMap_archive,IrishMarineInstitute.TerriaMap_archive,core,Marine Institute,high,main,true,42617,https://github.com/IrishMarineInstitute/TerriaMap_archive.git,https://github.com/IrishMarineInstitute/TerriaMap_archive,2026-08-11,2026-09-04,2026-08-27,2022-05-05T15:05:12Z,2022-05-05T15:05:12Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/thredds-netcdf-mirror,IrishMarineInstitute.thredds-netcdf-mirror,core,Marine Institute,high,master,false,11324,https://github.com/IrishMarineInstitute/thredds-netcdf-mirror.git,https://github.com/IrishMarineInstitute/thredds-netcdf-mirror,2026-08-11,2026-09-04,2026-08-27,2026-05-20T08:12:35Z,2026-05-20T08:12:35Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/timeliER,IrishMarineInstitute.timeliER,core,Marine Institute,high,master,false,1402,https://github.com/IrishMarineInstitute/timeliER.git,https://github.com/IrishMarineInstitute/timeliER,2026-08-11,2026-09-04,2026-08-26,2018-08-15T11:35:10Z,2018-08-15T11:35:10Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/uwobs,IrishMarineInstitute.uwobs,core,Marine Institute,high,master,true,42,https://github.com/IrishMarineInstitute/uwobs.git,https://github.com/IrishMarineInstitute/uwobs,2026-08-11,2026-09-04,2026-08-26,2024-11-29T14:59:02Z,2024-11-29T14:59:02Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/vessel-search,IrishMarineInstitute.vessel-search,core,Marine Institute,high,master,false,7285,https://github.com/IrishMarineInstitute/vessel-search.git,https://github.com/IrishMarineInstitute/vessel-search,2026-08-11,2026-09-04,2026-08-27,2022-03-22T09:39:52Z,2022-03-22T09:39:52Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
IrishMarineInstitute/vs-docker-compose,IrishMarineInstitute.vs-docker-compose,core,Marine Institute,high,master,false,4,https://github.com/IrishMarineInstitute/vs-docker-compose.git,https://github.com/IrishMarineInstitute/vs-docker-compose,2026-08-11,2026-09-04,2026-08-26,2019-03-25T16:07:54Z,2019-03-25T16:07:54Z,active,unknown,,https://github.com/IrishMarineInstitute/digital-stockbook
